
> alica-v2@0.0.0 schema
> python3 -S tools/run-design.py

test_pin_unknown_provider (test_g1_completion.NegativeSemantic.test_pin_unknown_provider) ... ok
test_policy_for_none (test_g1_completion.NegativeSemantic.test_policy_for_none) ... ok
test_required_missing_property (test_g1_completion.NegativeSemantic.test_required_missing_property) ... ok
test_response_both_outcomes (test_g1_completion.NegativeSemantic.test_response_both_outcomes) ... ok
test_rotation_same_key (test_g1_completion.NegativeSemantic.test_rotation_same_key) ... ok
test_rotation_skips_version (test_g1_completion.NegativeSemantic.test_rotation_skips_version) ... ok
test_scope_cycle (test_g1_completion.NegativeSemantic.test_scope_cycle) ... ok
test_scope_two_roots (test_g1_completion.NegativeSemantic.test_scope_two_roots) ... ok
test_secret_wrong_operation (test_g1_completion.NegativeSemantic.test_secret_wrong_operation) ... ok
test_stream_idempotency (test_g1_completion.NegativeSemantic.test_stream_idempotency) ... ok
test_unknown_parent (test_g1_completion.NegativeSemantic.test_unknown_parent) ... ok
test_version_component_overflow (test_g1_completion.NegativeSemantic.test_version_component_overflow) ... ok
test_catalog_permutations (test_g1_completion.Negotiation.test_catalog_permutations) ... ok
test_conflicting_descriptor (test_g1_completion.Negotiation.test_conflicting_descriptor) ... ok
test_max_minor (test_g1_completion.Negotiation.test_max_minor) ... ok
test_optional_features (test_g1_completion.Negotiation.test_optional_features) ... ok
test_optional_features_absent (test_g1_completion.Negotiation.test_optional_features_absent) ... ok
test_bool_not_integer (test_specifications.CanonicalTests.test_bool_not_integer) ... ok
test_depth (test_specifications.CanonicalTests.test_depth) ... ok
test_descriptor_digest (test_specifications.CanonicalTests.test_descriptor_digest) ... ok
test_duplicate_keys (test_specifications.CanonicalTests.test_duplicate_keys) ... ok
test_exponent (test_specifications.CanonicalTests.test_exponent) ... ok
test_fixed_bytes (test_specifications.CanonicalTests.test_fixed_bytes) ... ok
test_float (test_specifications.CanonicalTests.test_float) ... ok
test_key_order (test_specifications.CanonicalTests.test_key_order) ... ok
test_nan (test_specifications.CanonicalTests.test_nan) ... ok
test_negative_zero (test_specifications.CanonicalTests.test_negative_zero) ... ok
test_nonascii_key (test_specifications.CanonicalTests.test_nonascii_key) ... ok
test_range (test_specifications.CanonicalTests.test_range) ... ok
test_size (test_specifications.CanonicalTests.test_size) ... ok
test_surrogate (test_specifications.CanonicalTests.test_surrogate) ... ok
test_denied_grant (test_specifications.DesignExamples.test_denied_grant) ... ok
test_invisible_provider (test_specifications.DesignExamples.test_invisible_provider) ... ok
test_missing_feature (test_specifications.DesignExamples.test_missing_feature) ... ok
test_missing_operation (test_specifications.DesignExamples.test_missing_operation) ... ok
test_missing_pin_no_fallback (test_specifications.DesignExamples.test_missing_pin_no_fallback) ... ok
test_numeric_version (test_specifications.DesignExamples.test_numeric_version) ... ok
test_pin (test_specifications.DesignExamples.test_pin) ... ok
test_shuffle_resolution (test_specifications.DesignExamples.test_shuffle_resolution) ... ok
test_untrusted_provider (test_specifications.DesignExamples.test_untrusted_provider) ... ok
test_wrong_major (test_specifications.DesignExamples.test_wrong_major) ... ok
test_absolute_path (test_specifications.NegativeTests.test_absolute_path) ... ok
test_backslash_path (test_specifications.NegativeTests.test_backslash_path) ... ok
test_bad_grant_interval (test_specifications.NegativeTests.test_bad_grant_interval) ... ok
test_duplicate_bundle_path (test_specifications.NegativeTests.test_duplicate_bundle_path) ... ok
test_duplicate_features (test_specifications.NegativeTests.test_duplicate_features) ... ok
test_duplicate_operation (test_specifications.NegativeTests.test_duplicate_operation) ... ok
test_duplicate_profile_plugin (test_specifications.NegativeTests.test_duplicate_profile_plugin) ... ok
test_leading_zero_version (test_specifications.NegativeTests.test_leading_zero_version) ... ok
test_path_traversal (test_specifications.NegativeTests.test_path_traversal) ... ok
test_prerelease (test_specifications.NegativeTests.test_prerelease) ... ok
test_remote_schema (test_specifications.NegativeTests.test_remote_schema) ... ok
test_retry_denial (test_specifications.NegativeTests.test_retry_denial) ... ok
test_secret_value_in_profile (test_specifications.NegativeTests.test_secret_value_in_profile) ... ok
test_unknown_mode (test_specifications.NegativeTests.test_unknown_mode) ... ok
test_missing_field_bundle (test_specifications.SchemaTests.test_missing_field_bundle) ... ok
test_missing_field_call (test_specifications.SchemaTests.test_missing_field_call) ... ok
test_missing_field_capability (test_specifications.SchemaTests.test_missing_field_capability) ... ok
test_missing_field_error (test_specifications.SchemaTests.test_missing_field_error) ... ok
test_missing_field_event (test_specifications.SchemaTests.test_missing_field_event) ... ok
test_missing_field_event_descriptor (test_specifications.SchemaTests.test_missing_field_event_descriptor) ... ok
test_missing_field_event_grant (test_specifications.SchemaTests.test_missing_field_event_grant) ... ok
test_missing_field_grant (test_specifications.SchemaTests.test_missing_field_grant) ... ok
test_missing_field_package_index (test_specifications.SchemaTests.test_missing_field_package_index) ... ok
test_missing_field_plugin (test_specifications.SchemaTests.test_missing_field_plugin) ... ok
test_missing_field_profile (test_specifications.SchemaTests.test_missing_field_profile) ... ok
test_missing_field_resolution_lock (test_specifications.SchemaTests.test_missing_field_resolution_lock) ... ok
test_missing_field_response (test_specifications.SchemaTests.test_missing_field_response) ... ok
test_missing_field_revocation (test_specifications.SchemaTests.test_missing_field_revocation) ... ok
test_missing_field_root_rotation (test_specifications.SchemaTests.test_missing_field_root_rotation) ... ok
test_missing_field_secret_grant (test_specifications.SchemaTests.test_missing_field_secret_grant) ... ok
test_missing_field_signature (test_specifications.SchemaTests.test_missing_field_signature) ... ok
test_missing_field_trust_policy (test_specifications.SchemaTests.test_missing_field_trust_policy) ... ok
test_unknown_field_bundle (test_specifications.SchemaTests.test_unknown_field_bundle) ... ok
test_unknown_field_call (test_specifications.SchemaTests.test_unknown_field_call) ... ok
test_unknown_field_capability (test_specifications.SchemaTests.test_unknown_field_capability) ... ok
test_unknown_field_error (test_specifications.SchemaTests.test_unknown_field_error) ... ok
test_unknown_field_event (test_specifications.SchemaTests.test_unknown_field_event) ... ok
test_unknown_field_event_descriptor (test_specifications.SchemaTests.test_unknown_field_event_descriptor) ... ok
test_unknown_field_event_grant (test_specifications.SchemaTests.test_unknown_field_event_grant) ... ok
test_unknown_field_grant (test_specifications.SchemaTests.test_unknown_field_grant) ... ok
test_unknown_field_package_index (test_specifications.SchemaTests.test_unknown_field_package_index) ... ok
test_unknown_field_plugin (test_specifications.SchemaTests.test_unknown_field_plugin) ... ok
test_unknown_field_profile (test_specifications.SchemaTests.test_unknown_field_profile) ... ok
test_unknown_field_resolution_lock (test_specifications.SchemaTests.test_unknown_field_resolution_lock) ... ok
test_unknown_field_response (test_specifications.SchemaTests.test_unknown_field_response) ... ok
test_unknown_field_revocation (test_specifications.SchemaTests.test_unknown_field_revocation) ... ok
test_unknown_field_root_rotation (test_specifications.SchemaTests.test_unknown_field_root_rotation) ... ok
test_unknown_field_secret_grant (test_specifications.SchemaTests.test_unknown_field_secret_grant) ... ok
test_unknown_field_signature (test_specifications.SchemaTests.test_unknown_field_signature) ... ok
test_unknown_field_trust_policy (test_specifications.SchemaTests.test_unknown_field_trust_policy) ... ok
test_valid_bundle (test_specifications.SchemaTests.test_valid_bundle) ... ok
test_valid_call (test_specifications.SchemaTests.test_valid_call) ... ok
test_valid_capability (test_specifications.SchemaTests.test_valid_capability) ... ok
test_valid_error (test_specifications.SchemaTests.test_valid_error) ... ok
test_valid_event (test_specifications.SchemaTests.test_valid_event) ... ok
test_valid_event_descriptor (test_specifications.SchemaTests.test_valid_event_descriptor) ... ok
test_valid_event_grant (test_specifications.SchemaTests.test_valid_event_grant) ... ok
test_valid_grant (test_specifications.SchemaTests.test_valid_grant) ... ok
test_valid_package_index (test_specifications.SchemaTests.test_valid_package_index) ... ok
test_valid_plugin (test_specifications.SchemaTests.test_valid_plugin) ... ok
test_valid_profile (test_specifications.SchemaTests.test_valid_profile) ... ok
test_valid_resolution_lock (test_specifications.SchemaTests.test_valid_resolution_lock) ... ok
test_valid_response (test_specifications.SchemaTests.test_valid_response) ... ok
test_valid_revocation (test_specifications.SchemaTests.test_valid_revocation) ... ok
test_valid_root_rotation (test_specifications.SchemaTests.test_valid_root_rotation) ... ok
test_valid_secret_grant (test_specifications.SchemaTests.test_valid_secret_grant) ... ok
test_valid_signature (test_specifications.SchemaTests.test_valid_signature) ... ok
test_valid_trust_policy (test_specifications.SchemaTests.test_valid_trust_policy) ... ok
test_activation_staging (test_specifications.ScopeLifecycleExamples.test_activation_staging) ... ok
test_ancestor_visible (test_specifications.ScopeLifecycleExamples.test_ancestor_visible) ... ok
test_bad_signature_padding (test_specifications.ScopeLifecycleExamples.test_bad_signature_padding) ... ok
test_call_cannot_assert_authority (test_specifications.ScopeLifecycleExamples.test_call_cannot_assert_authority) ... ok
test_child_hidden_from_parent (test_specifications.ScopeLifecycleExamples.test_child_hidden_from_parent) ... ok
test_grant_expiry_boundary (test_specifications.ScopeLifecycleExamples.test_grant_expiry_boundary) ... ok
test_grant_intersection (test_specifications.ScopeLifecycleExamples.test_grant_intersection) ... ok
test_reverse_disposal_order (test_specifications.ScopeLifecycleExamples.test_reverse_disposal_order) ... ok
test_revoked_revision (test_specifications.ScopeLifecycleExamples.test_revoked_revision) ... ok
test_scope_self_visible (test_specifications.ScopeLifecycleExamples.test_scope_self_visible) ... ok
test_sibling_hidden (test_specifications.ScopeLifecycleExamples.test_sibling_hidden) ... ok
test_stale_generation (test_specifications.ScopeLifecycleExamples.test_stale_generation) ... ok
test_terminal_state (test_specifications.ScopeLifecycleExamples.test_terminal_state) ... ok

----------------------------------------------------------------------
Ran 193 tests in 0.240s

OK

> alica-v2@0.0.0 test:g6-design
> python3 -S tools/check-g6-design.py && python3 -S tools/test-g6-context-model.py

{
  "level": "SCHEMA-DESIGN-ONLY",
  "schemaChecksPassed": 248,
  "runtimeQualification": false,
  "cases": [
    {
      "case": "valid-hello",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-hello-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-hello-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-hello",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-accepted",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-accepted-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-accepted-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-accepted",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-request",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-request-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-request-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-request",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-response",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-response-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-response-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-response",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-error",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-error-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-error-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-error",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-cancel",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-cancel-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-cancel-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-cancel",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-stream-item",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-stream-item-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-stream-item-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-stream-item",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-stream-credit",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-stream-credit-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-stream-credit-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-stream-credit",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-stream-end",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-stream-end-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-stream-end-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-stream-end",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-event",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-event-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-event-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-event",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-ping",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-ping-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-ping-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-ping",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-pong",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-pong-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-pong-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-pong",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-scope-check",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-scope-check-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-scope-check-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-scope-check",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "valid-log",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "closed-log-envelope",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "closed-log-body",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "generation-required-log",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "hello-from-provider",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "hello-not-from-broker",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "accepted-from-broker",
      "passed": true,
      "expectedValid": true,
      "direction": "toProvider"
    },
    {
      "case": "accepted-not-from-provider",
      "passed": true,
      "expectedValid": false,
      "direction": "toBroker"
    },
    {
      "case": "broker-invoke",
      "passed": true,
      "expectedValid": true,
      "direction": "toProvider"
    },
    {
      "case": "provider-cannot-send-broker-invoke",
      "passed": true,
      "expectedValid": false,
      "direction": "toBroker"
    },
    {
      "case": "outbound-shape",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "outbound-rejects-caller-assertion",
      "passed": true,
      "expectedValid": false,
      "direction": "toBroker"
    },
    {
      "case": "invalid-header-contextId",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "invalid-header-sessionId",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "invalid-header-generation",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "invalid-header-sequence",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "invalid-header-schemaVersion",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "invalid-header-tag",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "credit-shape-0",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "credit-shape-257",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "credit-shape-1.5",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "handshake-shape-protocolMajor",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "handshake-shape-packageDigest",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "handshake-shape-challenge",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "reject-non-acap-value-76",
