    PID    PPID     ELAPSED COMMAND
 193583       2       35:49 [kworker/0:0-cgroup_free]
 196471       2       31:41 [kworker/3:0-cgroup_free]
 200452       2       26:39 [kworker/2:0-cgroup_release]
 200593       2       25:04 [kworker/1:0-events]
 200868       2       18:20 [kworker/u8:3-events_power_efficient]
 200973       2       17:03 [kworker/1:3-cgroup_free]
 201129       2       15:29 [kworker/3:2-events]
 201354       2       12:07 [kworker/2:3-cgroup_free]
 201377       2       07:50 [kworker/0:2-events]
 201602       2       07:30 [kworker/u8:5-events_power_efficient]
 203458       2       05:04 [kworker/1:1-cgroup_release]
 203459       2       05:04 [kworker/1:2-cgroup_free]
 203528       2       04:04 [kworker/3:1-cgroup_free]
 203541    1017       01:36 sshd: [accepted]
 203614       2       01:05 [kworker/2:1-events]
 203622       2       01:05 [kworker/2:2-events]
 203633       2       00:01 [psimon]
 203635       1       00:01 /usr/lib/systemd/systemd --user
 203636  203635       00:01 (sd-pam)
 203702    1017       00:00 sshd: alica-dev [priv]
 203747  203702       00:00 sshd: alica-dev@notty
 203748  203747       00:00 ps -eo pid,ppid,etime,args
